"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 01 09:52:37 GMT 2022","Thu Sep 01 09:52:39 GMT 2022","2737","Example Tests","Firefox tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
"passed","Thu Sep 01 09:52:30 GMT 2022","Thu Sep 01 09:52:34 GMT 2022","4262","Example Tests","Chrome tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
"passed","Thu Sep 01 09:52:37 GMT 2022","Thu Sep 01 09:52:37 GMT 2022","251","Example Tests","Firefox tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Thu Sep 01 09:52:31 GMT 2022","Thu Sep 01 09:52:32 GMT 2022","282","Example Tests","Chrome tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
