"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 31 08:28:55 GMT 2022","Wed Aug 31 08:28:55 GMT 2022","356","Example Tests","Chrome tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Wed Aug 31 08:28:59 GMT 2022","Wed Aug 31 08:29:02 GMT 2022","3177","Example Tests","Firefox tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
"passed","Wed Aug 31 08:29:00 GMT 2022","Wed Aug 31 08:29:00 GMT 2022","83","Example Tests","Firefox tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Wed Aug 31 08:28:55 GMT 2022","Wed Aug 31 08:28:58 GMT 2022","3912","Example Tests","Chrome tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
