"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 31 09:00:51 GMT 2022","Wed Aug 31 09:00:55 GMT 2022","3633","Example Tests","Firefox tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
"passed","Wed Aug 31 09:00:51 GMT 2022","Wed Aug 31 09:00:51 GMT 2022","167","Example Tests","Firefox tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Wed Aug 31 09:00:46 GMT 2022","Wed Aug 31 09:00:46 GMT 2022","268","Example Tests","Chrome tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Wed Aug 31 09:00:45 GMT 2022","Wed Aug 31 09:00:49 GMT 2022","4281","Example Tests","Chrome tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
