"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 27 04:10:35 GMT 2023","Mon Feb 27 04:10:36 GMT 2023","1186","Example Tests","Firefox tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
"passed","Mon Feb 27 04:10:33 GMT 2023","Mon Feb 27 04:10:33 GMT 2023","133","Example Tests","Chrome tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Mon Feb 27 04:10:36 GMT 2023","Mon Feb 27 04:10:37 GMT 2023","177","Example Tests","Firefox tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Mon Feb 27 04:10:31 GMT 2023","Mon Feb 27 04:10:35 GMT 2023","3920","Example Tests","Chrome tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
