"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 31 08:47:40 GMT 2022","Wed Aug 31 08:47:40 GMT 2022","187","Example Tests","Chrome tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Wed Aug 31 08:47:44 GMT 2022","Wed Aug 31 08:47:45 GMT 2022","1117","Example Tests","Firefox tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
"passed","Wed Aug 31 08:47:44 GMT 2022","Wed Aug 31 08:47:44 GMT 2022","92","Example Tests","Firefox tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Wed Aug 31 08:47:39 GMT 2022","Wed Aug 31 08:47:43 GMT 2022","3262","Example Tests","Chrome tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
