"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 03:46:19 GMT 2022","Mon Sep 19 03:46:19 GMT 2022","105","Example Tests","Firefox tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Mon Sep 19 03:46:12 GMT 2022","Mon Sep 19 03:46:16 GMT 2022","4101","Example Tests","Chrome tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
"passed","Mon Sep 19 03:46:15 GMT 2022","Mon Sep 19 03:46:15 GMT 2022","147","Example Tests","Chrome tests","tests.GoogleDoodlesTest","tests.GoogleDoodlesTest","googleDoodle","Дудл Google",""
"passed","Mon Sep 19 03:46:17 GMT 2022","Mon Sep 19 03:46:18 GMT 2022","1085","Example Tests","Firefox tests","tests.GoogleTest","tests.GoogleTest","googleSearch","Поиск на главной страницы Google",""
